"id","name","type","calories","tags","ingredients","instructions","image","is_premium","macros","created_at"
1,"Vegan Buddha Bowl","Lunch",450,"[""Vegan"",""Vegetarian"",""Gluten-Free""]","[{""name"":""Quinoa"",""quantity"":""1/2 cup""},{""name"":""Chickpeas"",""quantity"":""1/2 cup""},{""name"":""Avocado"",""quantity"":""1/2""},{""name"":""Sweet Potato"",""quantity"":""1 small""},{""name"":""Tahini"",""quantity"":""2 tbsp""}]","[""Cook quinoa."",""Roast chickpeas and sweet potato."",""Slice avocado."",""Assemble bowl and drizzle with tahini.""]","/images/vegan_buddha_bowl.jpg",false,"{""calories"":450,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-02T18:08:09.553895+00:00"
2,"Steak and Asparagus","Dinner",600,"[""Keto"",""Paleo"",""Gluten-Free"",""Beef"",""Meat""]","[{""name"":""Sirloin Steak"",""quantity"":""6 oz""},{""name"":""Asparagus"",""quantity"":""1 bunch""},{""name"":""Butter"",""quantity"":""1 tbsp""},{""name"":""Garlic"",""quantity"":""2 cloves""},{""name"":""Rosemary"",""quantity"":""1 sprig""}]","[""Season steak with salt and pepper."",""Sear steak in butter and garlic."",""Sauté asparagus pan."",""Rest steak before slicing.""]","/images/steak_and_asparagus.jpg",false,"{""calories"":600,""protein"":""25g"",""carbs"":""10g"",""fats"":""35g""}","2026-01-02T18:08:09.553895+00:00"
3,"Chicken Alfredo Pasta","Dinner",800,"[""Chicken"",""Meat""]","[{""name"":""Fettuccine"",""quantity"":""4 oz""},{""name"":""Chicken Breast"",""quantity"":""1""},{""name"":""Heavy Cream"",""quantity"":""1/2 cup""},{""name"":""Parmesan Cheese"",""quantity"":""1/2 cup""},{""name"":""Garlic"",""quantity"":""2 cloves""}]","[""Boil pasta."",""Cook chicken in a pan."",""Simmer cream and garlic."",""Whisk in parmesan."",""Toss pasta and chicken in sauce.""]","/images/chicken_alfredo_pasta.jpg",false,"{""calories"":800,""protein"":""30g"",""carbs"":""20g"",""fats"":""15g""}","2026-01-02T18:08:09.553895+00:00"
4,"Tofu Scramble","Breakfast",350,"[""Vegan"",""Vegetarian"",""Keto"",""Gluten-Free""]","[{""name"":""Firm Tofu"",""quantity"":""1/2 block""},{""name"":""Spinach"",""quantity"":""1 cup""},{""name"":""Turmeric"",""quantity"":""1/2 tsp""},{""name"":""Nutritional Yeast"",""quantity"":""1 tbsp""},{""name"":""Onion"",""quantity"":""1/4""}]","[""Crumble tofu."",""Sauté onion."",""Add tofu and seasonings."",""Stir in spinach until wilted.""]","/images/tofu_scramble.png",false,"{""calories"":350,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-02T18:11:52.700929+00:00"
5,"Salmon Salad","Lunch",500,"[""Paleo"",""Keto"",""Gluten-Free"",""Fish"",""Meat""]","[{""name"":""Salmon Fillet"",""quantity"":""1""},{""name"":""Mixed Greens"",""quantity"":""2 cups""},{""name"":""Cucumber"",""quantity"":""1/2""},{""name"":""Olive Oil"",""quantity"":""1 tbsp""},{""name"":""Lemon"",""quantity"":""1/2""}]","[""Pan-sear salmon."",""Chop veggies."",""Whisk olive oil and lemon juice."",""Toss greens and top with salmon.""]","/images/salmon_salad.png",false,"{""calories"":500,""protein"":""25g"",""carbs"":""10g"",""fats"":""35g""}","2026-01-02T18:11:52.700929+00:00"
6,"Blueberry Pancakes","Breakfast",550,"[""Vegetarian""]","[{""name"":""Flour"",""quantity"":""1 cup""},{""name"":""Milk"",""quantity"":""1/2 cup""},{""name"":""Eggs"",""quantity"":""2""},{""name"":""Blueberries"",""quantity"":""1/2 cup""},{""name"":""Maple Syrup"",""quantity"":""2 tbsp""}]","[""Whisk batter ingredients."",""Fold in blueberries."",""Cook on griddle until bubbly."",""Serve with maple syrup.""]","/images/blueberry_pancakes.png",false,"{""calories"":550,""protein"":""20g"",""carbs"":""40g"",""fats"":""15g""}","2026-01-02T18:11:52.700929+00:00"
7,"Oatmeal with Berries","Breakfast",300,"[""Vegan"",""Vegetarian"",""Gluten-Free""]","[{""name"":""Rolled Oats"",""quantity"":""1/2 cup""},{""name"":""Almond Milk"",""quantity"":""1 cup""},{""name"":""Strawberries"",""quantity"":""1/2 cup""},{""name"":""Chia Seeds"",""quantity"":""1 tsp""}]","[""Simmer oats in milk."",""Top with berries and chia seeds.""]","/images/oatmeal_berries.png",false,"{""calories"":300,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-02T18:11:52.700929+00:00"
8,"Grilled Chicken Caesar","Lunch",450,"[""Keto"",""Gluten-Free"",""Chicken"",""Meat""]","[{""name"":""Chicken Breast"",""quantity"":""1""},{""name"":""Romaine Lettuce"",""quantity"":""2 cups""},{""name"":""Parmesan"",""quantity"":""2 tbsp""},{""name"":""Caesar Dressing"",""quantity"":""2 tbsp""},{""name"":""Croutons"",""quantity"":""1/4 cup""}]","[""Grill chicken breast."",""Chop lettuce."",""Toss with dressing and cheese."",""Top with sliced chicken.""]","/images/grilled_chicken_caesar.png",false,"{""calories"":450,""protein"":""25g"",""carbs"":""10g"",""fats"":""35g""}","2026-01-02T18:11:52.700929+00:00"
9,"Lentil Soup","Dinner",400,"[""Vegan"",""Vegetarian"",""Gluten-Free""]","[{""name"":""Lentils"",""quantity"":""1 cup""},{""name"":""Carrots"",""quantity"":""2""},{""name"":""Celery"",""quantity"":""1 stalk""},{""name"":""Onion"",""quantity"":""1/2""},{""name"":""Vegetable Broth"",""quantity"":""4 cups""}]","[""Sauté aromatics."",""Add lentils and broth."",""Simmer for 20 mins."",""Blend partially for texture.""]","/images/lentil_soup.jpg",false,"{""calories"":400,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-02T18:11:52.700929+00:00"
10,"Bacon and Eggs","Breakfast",500,"[""Keto"",""Paleo"",""Gluten-Free"",""Pork"",""Meat"",""Egg""]","[{""name"":""Bacon"",""quantity"":""3 slices""},{""name"":""Eggs"",""quantity"":""2""},{""name"":""Toast"",""quantity"":""1 slice""},{""name"":""Butter"",""quantity"":""1 tsp""}]","[""Fry bacon until crispy."",""Fry eggs in bacon fat."",""Toast bread."",""Serve with butter.""]","/images/bacon_and_eggs.png",false,"{""calories"":500,""protein"":""25g"",""carbs"":""10g"",""fats"":""35g""}","2026-01-02T18:11:52.700929+00:00"
